"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
,,,,2.00,,"5,600.00",
Stock ID: 124-10621 ,,,,,,,
11-Dec-25 ,222 ND National Juicer,,30,30,6351,"190,530",National Distributor
,,,,30.00,,"190,530.00",
Stock ID: 124-10622 ,,,,,,,
11-Dec-25 ,MN PANASONIC 3IN1 JUICER,,6,6,3600,"21,600",Sitara Trading Company
11-Dec-25 ,PN PANASONIC 3IN1,,9,9,3600,"32,400",Sitara Trading Company
,,,,15.00,,"54,000.00",
Stock ID: 124-10623 ,,,,,,,
11-Dec-25 ,006 kettle 1.7 litter,,12,12,1650,"19,800",Sitara Trading Company
11-Dec-25 ,221 NS National Kettle,,12,12,1584,"19,008",Sitara Trading Company
,,,,24.00,,"38,808.00",
Stock ID: 124-10625 ,,,,,,,
11-Dec-25 ,304 Kenwood Stick Blender,,12,12,3075,"36,900",Sitara Trading Company
11-Dec-25 ,123 Panasonic Stick Blender,,12,12,2950,"35,400",Sitara Trading Company
,,,,24.00,,"72,300.00",
Stock ID: 124-10626 ,,,,,,,
11-Dec-25 ,222 Kenwood Microwave Oven,,9,9,11300,"101,700",Sitara Traders Micro Deal 
,,,,9.00,,"101,700.00",
Stock ID: 124-10627 ,,,,,,,
11-Dec-25 ,Kettle China National,,80,80,780,"62,400",Sitara Trading Company
,,,,80.00,,"62,400.00",
Stock ID: 124-10628 ,,,,,,,
11-Dec-25 ,VIP Iron N197 Iron,,300,300,1530,"459,000",Haider Sahab Iron
,,,,300.00,,"459,000.00",
Stock ID: 124-10629 ,,,,,,,
09-Dec-25 ,Kaim 3in1 Juicer,,1450,"1,450",73,"105,850",Babar Bhai Kaim
,,,,"1,450.00",,"105,850.00",
Stock ID: 124-10630 ,,,,,,,
09-Dec-25 ,Wire Computerise Juicer & Blender,,1200,"1,200",55,"66,000",Imran Wire 
,,,,"1,200.00",,"66,000.00",
Stock ID: 124-10631 ,,,,,,,
18-Oct-25 ,Kaim 3in1 Juicer,,2000,"2,000",73,"146,000",Babar Bhai Kaim
,,,,"2,000.00",,"146,000.00",
Stock ID: 124-10632 ,,,,,,,
11-Dec-25 ,333 Angeleno 3in1 Juicer,,10,10,19000,"190,000",Angeleno Madina Bara Center
,,,,10.00,,"190,000.00",
Stock ID: 124-10665 ,,,,,,,
11-Dec-25 ,4832 LG Vacuum Cleaner,,30,30,15800,"474,000",Abid Bhai Seco 
11-Dec-25 ,960 Y China Hitachi Vacuum Cleaner,,45,45,8600,"387,000",Abid Bhai Seco 
11-Dec-25 ,970 Kenwood Vacuum Cleaner Car Shape,,10,10,10500,"105,000",Abid Bhai Seco 
,,,,85.00,,"966,000.00",
Stock ID: 124-10666 ,,,,,,,
11-Dec-25 ,5760 Raf Top Hot Plate,,90,90,3100,"279,000",Yaseen Sahab Sogo Walai
,,,,90.00,,"279,000.00",
Stock ID: 124-10667 ,,,,,,,
11-Dec-25 ,424 Panaosnic Kettle,,3,3,1500,"4,500",National Distributor
,,,,3.00,,"4,500.00",
Stock ID: 124-10668 ,,,,,,,
11-Dec-25 ,908 Panasonic Air Fryer ,,2,2,11700,"23,400",National Distributor
11-Dec-25 ,208 Panasonic Air Fryer,,2,2,11700,"23,400",National Distributor
,,,,4.00,,"46,800.00",
Stock ID: 124-10744 ,,,,,,,
12-Dec-25 ,764 ND National Food Factory,,4,4,9222,"36,888",National Distributor
,,,,4.00,,"36,888.00",
Stock ID: 124-10745 ,,,,,,,
12-Dec-25 ,006 kettle 1.7 litter,,12,12,1650,"19,800",Sitara Trading Company
,,,,12.00,,"19,800.00",
Stock ID: 124-10746 ,,,,,,,
12-Dec-25 ,200 Spell Juicer,,3,3,4350,"13,050",National Distributor
,,,,3.00,,"13,050.00",
Stock ID: 124-10757 ,,,,,,,
12-Dec-25 ,304 Kenwood Stick Blender,,6,6,3075,"18,450",Sitara Trading Company
,,,,6.00,,"18,450.00",
Stock ID: 124-10763 ,,,,,,,
12-Dec-25 ,Kettle China National,,480,480,780,"374,400",Sitara Trading Company
,,,,480.00,,"374,400.00",
Stock ID: 124-10776 ,,,,,,,
12-Dec-25 ,108 ND National Sandwich Maker Black,,6,6,3045,"18,270",National Distributor
12-Dec-25 ,4097 ND National Garment Steamer,,2,2,13920,"27,840",National Distributor
12-Dec-25 ,103 ND National Sandwich Maker Steel,,6,6,3045,"18,270",National Distributor
,,,,14.00,,"64,380.00",
Stock ID: 124-10779 ,,,,,,,
12-Dec-25 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-10780 ,,,,,,,
12-Dec-25 ,Kettle China National,,480,480,780,"374,400",Multy Net Mehdi Bhai
,,,,480.00,,"374,400.00",
Stock ID: 124-10781 ,,,,,,,
12-Dec-25 ,5760 Raf Top Hot Plate,,120,120,3100,"372,000",Yaseen Sahab Sogo Walai
,,,,120.00,,"372,000.00",
Stock ID: 124-10782 ,,,,,,,
12-Dec-25 ,1 Litter Glass Jug,,1392,"1,392",455,"633,360",Sitara Traders Micro Deal 
12-Dec-25 ,Coli Glass,,1392,"1,392",0,,Sitara Traders Micro Deal 
,,,,"2,784.00",,"633,360.00",
Stock ID: 124-10783 ,,,,,,,
12-Dec-25 ,7025CC Juicer 3in1 Motor,,1050,"1,050",780,"819,000",Raees Ahmad Peer Makki
12-Dec-25 ,China Handle Iron,,324,324,700,"226,800",Raees Ahmad Peer Makki
12-Dec-25 ,iron u,,400,400,30,"12,000",Raees Ahmad Peer Makki
,,,,"1,774.00",,"1,057,800.00",
Stock ID: 124-10784 ,,,,,,,
11-Dec-25 ,Wire Blender Amm,,2100,"2,100",33,"69,300",Imran Wire 
11-Dec-25 ,Wire Computerise Juicer & Blender,,800,800,55,"44,000",Imran Wire 
,,,,"2,900.00",,"113,300.00",
