"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
24-Dec-25 ,762 ND National Food Processor,,2,2,9222,"18,444",National Distributor
24-Dec-25 ,601 ND National Food Proceres,,2,2,8700,"17,400",National Distributor
,,,,9.00,,"73,341.00",
Stock ID: 124-12085 ,,,,,,,
24-Dec-25 ,124 Panasonic Stick Blender,,42,42,2950,"123,900",Sitara Trading Company
,,,,42.00,,"123,900.00",
Stock ID: 124-12105 ,,,,,,,
24-Dec-25 ,908 Panasonic Air Fryer ,,50,50,11700,"585,000",National Distributor
,,,,50.00,,"585,000.00",
Stock ID: 124-12113 ,,,,,,,
24-Dec-25 ,1907 Panasonic Sandwich Maker,,200,200,2150,"430,000",Multy Net Mehdi Bhai
,,,,200.00,,"430,000.00",
Stock ID: 124-12126 ,,,,,,,
24-Dec-25 ,222 Kenwood Microwave Oven,,6,6,11300,"67,800",Sitara Traders Micro Deal 
,,,,6.00,,"67,800.00",
Stock ID: 124-12132 ,,,,,,,
24-Dec-25 ,208 Panasonic Air Fryer,,24,24,11700,"280,800",National Distributor
24-Dec-25 ,908 Panasonic Air Fryer ,,26,26,11700,"304,200",National Distributor
,,,,50.00,,"585,000.00",
Stock ID: 124-12133 ,,,,,,,
24-Dec-25 ,635 St National Vacuum Cleaner,,190,190,8600,"1,634,000",Abid Bhai Seco 
,,,,190.00,,"1,634,000.00",
Stock ID: 124-12134 ,,,,,,,
24-Dec-25 ,3096 ND National Garments Steamer,,2,2,11310,"22,620",National Distributor
,,,,2.00,,"22,620.00",
Stock ID: 124-12135 ,,,,,,,
24-Dec-25 ,8 Ltr Indus Geyser LPG,,1,1,22800,"22,800",Khawaja Electric Shah Alam LHR
,,,,1.00,,"22,800.00",
Stock ID: 124-12136 ,,,,,,,
24-Dec-25 ,30 MH Microwave Oven,,10,10,11600,"116,000",Multy Net Mehdi Bhai
,,,,10.00,,"116,000.00",
Stock ID: 124-12137 ,,,,,,,
24-Dec-25 ,610 Oxford Juicer,,15,15,3844.2,"57,663",Sitara Trading Company
24-Dec-25 ,110 Oxford Iron,,12,12,1578.1,"18,937.2",Sitara Trading Company
,,,,27.00,,"76,600.20",
Stock ID: 124-1216 ,,,,,,,
16-Sep-25 ,602 Russel Hobbs Hot Plate,,216,216,3400,"734,400",Zeeshan NP
16-Sep-25 ,602 Russel Hobbs Hot Plate,,24,24,3400,"81,600",Zeeshan NP
,,,,240.00,,"816,000.00",
Stock ID: 124-12161 ,,,,,,,
26-Dec-25 ,124 Panasonic Stick Blender,,72,72,2950,"212,400",Sitara Trading Company
,,,,72.00,,"212,400.00",
Stock ID: 124-12162 ,,,,,,,
26-Dec-25 ,222 Kenwood Microwave Oven,,1,1,11300,"11,300",Sitara Traders Micro Deal 
26-Dec-25 ,111 Panasonic Microwave Oven,,4,4,11300,"45,200",Sitara Traders Micro Deal 
,,,,5.00,,"56,500.00",
Stock ID: 124-12163 ,,,,,,,
19-Dec-25 ,Box St 26 Iron,,655,655,60,"39,300",Azhar Printing Press
,,,,655.00,,"39,300.00",
Stock ID: 124-12164 ,,,,,,,
24-Dec-25 ,0816 Panasonic Iron Special Gray,,96,96,1560,"149,760",Haider Sahab Iron
,,,,96.00,,"149,760.00",
Stock ID: 124-12165 ,,,,,,,
26-Dec-25 ,408 Panasonic Sandwich Maker,,612,612,1750,"1,071,000",Imran Mustafai Gujranwala
,,,,612.00,,"1,071,000.00",
Stock ID: 124-12169 ,,,,,,,
26-Dec-25 ,23 DG Microwave Oven,,30,30,14700,"441,000",Sitara Traders Micro Deal 
,,,,30.00,,"441,000.00",
Stock ID: 124-12170 ,,,,,,,
26-Dec-25 ,110 Oxford Iron,,18,18,1578.1,"28,405.8",Sitara Trading Company
26-Dec-25 ,610 Oxford Juicer,,75,75,3844.2,"288,315",Sitara Trading Company
,,,,93.00,,"316,720.80",
Stock ID: 124-12172 ,,,,,,,
03-Dec-25 ,Box ST 113 Iron ,,1048,"1,048",60,"62,880",Azhar Printing Press
03-Dec-25 ,Box VIP Iron,,1035,"1,035",60,"62,100",Azhar Printing Press
,,,,"2,083.00",,"124,980.00",
Stock ID: 124-12179 ,,,,,,,
26-Dec-25 ,5760 Raf Top Hot Plate,,150,150,3100,"465,000",Yaseen Sahab Sogo Walai
,,,,150.00,,"465,000.00",
Stock ID: 124-12201 ,,,,,,,
26-Dec-25 ,5050 NS 4in1 Juicer,,3,3,4483,"13,449",Sitara Trading Company
,,,,3.00,,"13,449.00",
Stock ID: 124-12208 ,,,,,,,
26-Dec-25 ,5760 Raf Top Hot Plate,,78,78,3100,"241,800",Yaseen Sahab Sogo Walai
,,,,78.00,,"241,800.00",
Stock ID: 124-12209 ,,,,,,,
26-Dec-25 ,318 ND National Vacuum Cleaner,,2,2,11310,"22,620",National Distributor
,,,,2.00,,"22,620.00",
Stock ID: 124-1222 ,,,,,,,
16-Sep-25 ,777 MH Kettle,,360,360,1050,"378,000",Multy Net Mehdi Bhai
16-Sep-25 ,777 MH Kettle,,600,600,1050,"630,000",Multy Net Mehdi Bhai
,,,,960.00,,"1,008,000.00",
Stock ID: 124-12226 ,,,,,,,
26-Dec-25 ,140 Panasonic Food Processor,,2,2,7500,"15,000",Sitara Trading Company
,,,,2.00,,"15,000.00",
Stock ID: 124-1223 ,,,,,,,
16-Sep-25 ,013 Kenwood Chopper 3 Ltr,,342,342,2450,"837,900",Sitara Trading Company
,,,,342.00,,"837,900.00",
Stock ID: 124-12230 ,,,,,,,
26-Dec-25 ,180 ND National 3in1 Juicer,,6,6,6786,"40,716",National Distributor
,,,,6.00,,"40,716.00",
Stock ID: 124-12232 ,,,,,,,
26-Dec-25 ,MO-200 Sandwich Maker Panasonic,,40,40,2600,"104,000",Sitara Trading Company
,,,,40.00,,"104,000.00",
Stock ID: 124-1224 ,,,,,,,
16-Sep-25 ,GOLDEN JALI ,,60,60,550,"33,000",Raees Ahmad Peer Makki
,,,,60.00,,"33,000.00",
Stock ID: 124-12280 ,,,,,,,
27-Dec-25 ,208 Panasonic Air Fryer,,38,38,11700,"444,600",National Distributor
,,,,38.00,,"444,600.00",
Stock ID: 124-12281 ,,,,,,,
24-Dec-25 ,200 number air fryer,,2,2,8000,"16,000",Raees Ahmad Peer Makki
24-Dec-25 ,7725 Hot Plate,,3,3,3600,"10,800",Raees Ahmad Peer Makki
,,,,5.00,,"26,800.00",
Stock ID: 124-12282 ,,,,,,,
27-Dec-25 ,22 AWT Panasonic Malaysia Iron,,30,30,6675,"200,250",Nagina Madina Bara Basement
,,,,30.00,,"200,250.00",
Stock ID: 124-12283 ,,,,,,,
27-Dec-25 ,18 Kettle China NP ,,660,660,1180,"778,800",Zeeshan NP
27-Dec-25 ,18 Kettle China NP ,,300,300,1180,"354,000",Zeeshan NP
,,,,960.00,,"1,132,800.00",
Stock ID: 124-12285 ,,,,,,,
27-Dec-25 ,7 MD Dawlance Microwave  Oven,,30,30,13700,"411,000",Ali Ahmad Mustafa Center
,,,,30.00,,"411,000.00",
Stock ID: 124-12286 ,,,,,,,
27-Dec-25 ,360 National 3in1 Juicer,,6,6,3100,"18,600",Sitara Trading Company
27-Dec-25 ,160 National 3in1 Juicer,,6,6,3100,"18,600",Sitara Trading Company
,,,,12.00,,"37,200.00",
Stock ID: 124-12287 ,,,,,,,
27-Dec-25 ,Button 3in1 Juicer,,300,300,80,"24,000",Raees Ahmad Peer Makki
27-Dec-25 ,BUTTON DEURON ,,432,432,80,"34,560",Raees Ahmad Peer Makki
,,,,732.00,,"58,560.00",
Stock ID: 124-12311 ,,,,,,,
27-Dec-25 ,20 MH National Microwave Oven,,50,50,11300,"565,000",Multy Net Mehdi Bhai
27-Dec-25 ,20 MH National Microwave Oven,,25,25,11300,"282,500",Multy Net Mehdi Bhai
,,,,75.00,,"847,500.00",
Stock ID: 124-12314 ,,,,,,,
27-Dec-25 ,910 NS Blender,,12,12,1725,"20,700",Sitara Trading Company
27-Dec-25 ,PN PANASONIC 3IN1,,3,3,3600,"10,800",Sitara Trading Company
,,,,15.00,,"31,500.00",
Stock ID: 124-12317 ,,,,,,,
27-Dec-25 ,112 Philips Hand Blender,,12,12,3300,"39,600",Sitara Trading Company
,,,,12.00,,"39,600.00",
Stock ID: 124-12330 ,,,,,,,
27-Dec-25 ,2224 ND National 4in1 Juicer,,9,9,7047,"63,423",National Distributor
27-Dec-25 ,222 ND National Juicer,,15,15,6351,"95,265",National Distributor
,,,,24.00,,"158,688.00",
Stock ID: 124-12348 ,,,,,,,
27-Dec-25 ,180 ND National 3in1 Juicer,,3,3,6786,"20,358",National Distributor
27-Dec-25 ,510 ND National Chopper 7in1,,3,3,11310,"33,930",National Distributor
27-Dec-25 ,1804 ND National 4in1 Juicer,,2,2,7482,"14,964",National Distributor
27-Dec-25 ,762 ND National Food Processor,,2,2,9222,"18,444",National Distributor
27-Dec-25 ,662 ND National Food Factory,,2,2,9222,"18,444",National Distributor
,,,,12.00,,"106,140.00",
Stock ID: 124-12357 ,,,,,,,
27-Dec-25 ,350 Kenwood 3in1 Juicer,,18,18,3500,"63,000",Sitara Trading Company
,,,,18.00,,"63,000.00",
Stock ID: 124-12389 ,,,,,,,
27-Dec-25 ,602 Oxford Blender,,18,18,1836.1,"33,049.8",Sitara Trading Company
,,,,18.00,,"33,049.80",
Stock ID: 124-12393 ,,,,,,,
29-Dec-25 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-12394 ,,,,,,,
29-Dec-25 ,22 AWT Panasonic Japani Iron,,12,12,13400,"160,800",Noshad Rasheed Center
,,,,12.00,,"160,800.00",
Stock ID: 124-12395 ,,,,,,,
29-Dec-25 ,111 Raf Hot Plate,,80,80,3250,"260,000",Sitara Trading Company
,,,,80.00,,"260,000.00",
Stock ID: 124-12396 ,,,,,,,
23-Dec-25 ,4440 ST National Juicer 900 Watts,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-12397 ,,,,,,,
27-Dec-25 ,1018 Panasonic Blender 7020 Copper,,232,232,0,,Saddam Bhai Jamal Center
,,,,232.00,,0.00,
Stock ID: 124-12416 ,,,,,,,
29-Dec-25 ,124 Panasonic Stick Blender,,6,6,2950,"17,700",Sitara Trading Company
29-Dec-25 ,305 Kenwood Hand Blender,,120,120,3075,"369,000",Sitara Trading Company
,,,,126.00,,"386,700.00",
Stock ID: 124-12422 ,,,,,,,
29-Dec-25 ,908 Panasonic Air Fryer ,,48,48,11700,"561,600",National Distributor
,,,,48.00,,"561,600.00",
Stock ID: 124-12433 ,,,,,,,
29-Dec-25 ,656 ND National Air Fryer ,,2,2,12615,"25,230",National Distributor
29-Dec-25 ,2224 ND National 4in1 Juicer,,15,15,7047,"105,705",National Distributor
,,,,17.00,,"130,935.00",
Stock ID: 124-12438 ,,,,,,,
29-Dec-25 , 0699 Philips Sandwich Maker ,,640,640,3150,"2,016,000",Ibrahim Khan 
,,,,640.00,,"2,016,000.00",
Stock ID: 124-12439 ,,,,,,,
29-Dec-25 ,2575 China Egg Beater,,144,144,950,"136,800",Baseer Bhai Mustafa Center
,,,,144.00,,"136,800.00",
Stock ID: 124-12440 ,,,,,,,
29-Dec-25 ,877 ND National Toaster 4 Slice,,8,8,5046,"40,368",National Distributor
,,,,8.00,,"40,368.00",
Stock ID: 124-1245 ,,,,,,,
16-Sep-25 ,775 Anex Egg Boiler ,,12,12,5687.5,"68,250",Anex Company Farrukh Sahab
,,,,12.00,,"68,250.00",
Stock ID: 124-12495 ,,,,,,,
30-Dec-25 ,JP Panasonic Juicer BB 3in1,,12,12,3100,"37,200",Sitara Trading Company
,,,,12.00,,"37,200.00",
Stock ID: 124-12496 ,,,,,,,
30-Dec-25 ,1000 Panasonic Food Processor,,2,2,8200,"16,400",Sitara Trading Company
,,,,2.00,,"16,400.00",
Stock ID: 124-12497 ,,,,,,,
30-Dec-25 ,1582 Panasonic Blender,,18,18,2525,"45,450",Sitara Trading Company
,,,,18.00,,"45,450.00",
Stock ID: 124-12499 ,,,,,,,
30-Dec-25 ,603 Oxford Blender DD,,6,6,2132.8,"12,796.8",Sitara Trading Company
,,,,6.00,,"12,796.80",
Stock ID: 124-12503 ,,,,,,,
27-Dec-25 ,181 GL Anex Juicer 3in1,,1,1,14742,"14,742",Anex Company Farrukh Sahab
27-Dec-25 ,2127 Anex Stand Mixer,,1,1,14469,"14,469",Anex Company Farrukh Sahab
,,,,2.00,,"29,211.00",
Stock ID: 124-12504 ,,,,,,,
30-Dec-25 ,402 Food Factory ,,90,90,8100,"729,000",Usman Shanwari
30-Dec-25 ,402 Food Factory ,,90,90,8100,"729,000",Usman Shanwari
,,,,180.00,,"1,458,000.00",
Stock ID: 124-12505 ,,,,,,,
30-Dec-25 ,22 IB Microwave Oven White,,57,57,11650,"664,050",Ibrahim Khan 
30-Dec-25 ,11 IB Microwave Oven Black,,101,101,11650,"1,176,650",Ibrahim Khan 
,,,,158.00,,"1,840,700.00",
Stock ID: 124-12511 ,,,,,,,
30-Dec-25 ,825 TG Microwave Oven ,,30,30,20300,"609,000",Sitara Traders Micro Deal 
,,,,30.00,,"609,000.00",
Stock ID: 124-12516 ,,,,,,,
30-Dec-25 ,900 NS Blender,,6,6,1800,"10,800",Sitara Trading Company
30-Dec-25 ,500 MJ BLENDER,,12,12,1800,"21,600",Sitara Trading Company
30-Dec-25 ,200 Kenwood Blender,,6,6,1800,"10,800",Sitara Trading Company
,,,,24.00,,"43,200.00",
Stock ID: 124-12530 ,,,,,,,
30-Dec-25 ,22 AWT Panasonic Malaysia Iron,,30,30,6875,"206,250",Nagina Madina Bara Basement
,,,,30.00,,"206,250.00",
Stock ID: 124-12531 ,,,,,,,
30-Dec-25 ,3096 ND National Garments Steamer,,4,4,11310,"45,240",National Distributor
,,,,4.00,,"45,240.00",
Stock ID: 124-12532 ,,,,,,,
30-Dec-25 ,602 Oxford Blender,,30,30,1836.1,"55,083",Sitara Trading Company
,,,,30.00,,"55,083.00",
Stock ID: 124-12545 ,,,,,,,
30-Dec-25 ,3080 Anex Electric Oven Toaster,,10,10,33488,"334,880",Anex Company Farrukh Sahab
,,,,10.00,,"334,880.00",
Stock ID: 124-12556 ,,,,,,,
30-Dec-25 ,603 Oxford Blender DD,,12,12,2132.8,"25,593.6",Sitara Trading Company
,,,,12.00,,"25,593.60",
Stock ID: 124-12557 ,,,,,,,
30-Dec-25 ,MN PANASONIC 3IN1 JUICER,,6,6,3600,"21,600",Sitara Trading Company
30-Dec-25 ,112 Philips Hand Blender,,6,6,3300,"19,800",Sitara Trading Company
,,,,12.00,,"41,400.00",
Stock ID: 124-1258 ,,,,,,,
16-Sep-25 ,2322 Dawlance Steam Iron,,8,8,0,,Amir Gujrat
16-Sep-25 ,133 Dawlance Microwave Oven,,16,16,30950,"495,200",Amir Gujrat
16-Sep-25 ,550 AF Dawlance Conventional Micro Oven,,3,3,40000,"120,000",Amir Gujrat
16-Sep-25 ,530AF Dawlance Microwave Oven,,5,5,37000,"185,000",Amir Gujrat
16-Sep-25 ,210 Dawlance White Microwave Oven,,115,115,12300,"1,414,500",Amir Gujrat
,,,,147.00,,"2,214,700.00",
Stock ID: 124-12591 ,,,,,,,
31-Dec-25 ,4 MD Black Dawlance Microwave Oven,,100,100,13400,"1,340,000",Amir Gujrat
31-Dec-25 ,4 MD Black Dawlance Microwave Oven,,50,50,13400,"670,000",Amir Gujrat
,,,,150.00,,"2,010,000.00",
Stock ID: 124-12592 ,,,,,,,
30-Dec-25 ,7020 Copper Blender Motor ,,1020,"1,020",800,"816,000",Raees Ahmad Peer Makki
,,,,"1,020.00",,"816,000.00",
Stock ID: 124-12598 ,,,,,,,
31-Dec-25 ,208 Panasonic Air Fryer,,50,50,11700,"585,000",National Distributor
,,,,50.00,,"585,000.00",
Stock ID: 124-12599 ,,,,,,,
31-Dec-25 ,222 ND National Juicer,,30,30,6351,"190,530",National Distributor
31-Dec-25 ,9097 ND National Blender Plastic,,12,12,2697,"32,364",National Distributor
,,,,42.00,,"222,894.00",
Stock ID: 124-12611 ,,,,,,,
31-Dec-25 ,110 Oxford Iron,,6,6,1578.1,"9,468.6",Sitara Trading Company
,,,,6.00,,"9,468.60",
Stock ID: 124-12612 ,,,,,,,
31-Dec-25 ,130 Anex Hand Blender With Beater& Chopper,,4,4,11193,"44,772",Anex Company Farrukh Sahab
,,,,4.00,,"44,772.00",
Stock ID: 124-12613 ,,,,,,,
31-Dec-25 ,61 ND National Iron,,18,18,3219,"57,942",National Distributor
,,,,18.00,,"57,942.00",
Stock ID: 124-12624 ,,,,,,,
31-Dec-25 ,448 Philips Hot Plate,,80,80,3250,"260,000",Sitara Trading Company
,,,,80.00,,"260,000.00",
Stock ID: 124-12625 ,,,,,,,
31-Dec-25 ,602 Oxford Blender,,96,96,1836.1,"176,265.6",Sitara Trading Company
31-Dec-25 ,610 Oxford Juicer,,90,90,3844.2,"345,978",Sitara Trading Company
31-Dec-25 ,PN PANASONIC 3IN1,,30,30,3600,"108,000",Sitara Trading Company
31-Dec-25 ,MN PANASONIC 3IN1 JUICER,,30,30,3600,"108,000",Sitara Trading Company
,,,,246.00,,"738,243.60",
Stock ID: 124-12632 ,,,,,,,
31-Dec-25 ,660 ND National Food Factory,,2,2,9222,"18,444",National Distributor
31-Dec-25 ,662 ND National Food Factory,,2,2,9222,"18,444",National Distributor
,,,,4.00,,"36,888.00",
Stock ID: 124-12646 ,,,,,,,
31-Dec-25 ,9097 ND National Blender Glass,,12,12,2914.5,"34,974",National Distributor
,,,,12.00,,"34,974.00",
Stock ID: 124-12651 ,,,,,,,
31-Dec-25 ,381 Seco Box Heater,,40,40,850,"34,000",Abid Bhai Seco 
,,,,40.00,,"34,000.00",
Stock ID: 124-12652 ,,,,,,,
31-Dec-25 ,130 Anex Hand Blender With Beater& Chopper,,8,8,11193,"89,544",Anex Company Farrukh Sahab
,,,,8.00,,"89,544.00",
Stock ID: 124-12691 ,,,,,,,
30-Dec-25 ,1 Litter Glass Jug,,1392,"1,392",455,"633,360",Sitara Traders Micro Deal 
30-Dec-25 ,Coli Glass,,1392,"1,392",0,,Sitara Traders Micro Deal 
,,,,"2,784.00",,"633,360.00",
Stock ID: 124-12692 ,,,,,,,
31-Dec-25 ,4 MD Black Dawlance Microwave Oven,,81,81,13150,"1,065,150",Anees Naghi
31-Dec-25 ,10 MD Dawlance Microwave Oven,,31,31,13150,"407,650",Anees Naghi
,,,,112.00,,"1,472,800.00",
Stock ID: 124-12693 ,,,,,,,
29-Dec-25 ,Juicer White Body 3in1 7025cc,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-12698 ,,,,,,,
01-Jan-26 ,103 ND National Sandwich Maker Steel,,12,12,3045,"36,540",National Distributor
01-Jan-26 ,109 ND National Sandwich Maker Steel,,12,12,3132,"37,584",National Distributor
,,,,24.00,,"74,124.00",
Stock ID: 124-12699 ,,,,,,,
01-Jan-26 ,MO-200 Sandwich Maker Panasonic,,16,16,2600,"41,600",Sitara Trading Company
,,,,16.00,,"41,600.00",
Stock ID: 124-12700 ,,,,,,,
31-Dec-25 ,960 Y China Hitachi Vacuum Cleaner,,270,270,8500,"2,295,000",Zeeshan NP
,,,,270.00,,"2,295,000.00",
Stock ID: 124-12701 ,,,,,,,
01-Jan-26 ,111 Raf Hot Plate,,80,80,3250,"260,000",Sitara Trading Company
,,,,80.00,,"260,000.00",
Stock ID: 124-12702 ,,,,,,,
01-Jan-26 ,763 ND National Food Processor,,10,10,9222,"92,220",National Distributor
01-Jan-26 ,552 ND National Chopper,,20,20,5133,"102,660",National Distributor
,,,,30.00,,"194,880.00",
Stock ID: 124-1272 ,,,,,,,
16-Sep-25 ,555 FS National Iron,,120,120,1600,"192,000",Shahid Bhai Iron
,,,,120.00,,"192,000.00",
Stock ID: 124-1273 ,,,,,,,
16-Sep-25 ,6786 Kenwood Air Fryer 12 Ltr,,8,8,14000,"112,000",Abid Bhai Seco 
,,,,8.00,,"112,000.00",
Stock ID: 124-12764 ,,,,,,,
01-Jan-26 ,30 MH Microwave Oven,,6,6,11600,"69,600",Multy Net Mehdi Bhai
01-Jan-26 ,40 MH Hot Plate,,240,240,3200,"768,000",Multy Net Mehdi Bhai
,,,,246.00,,"837,600.00",
Stock ID: 124-12765 ,,,,,,,
01-Jan-26 ,40 MH Hot Plate,,160,160,3200,"512,000",Multy Net Mehdi Bhai
,,,,160.00,,"512,000.00",
Stock ID: 124-12766 ,,,,,,,
02-Jan-26 ,112 Kenwood Sandwich Maker,,30,30,1840,"55,200",Sitara Trading Company
,,,,30.00,,"55,200.00",
Stock ID: 124-12806 ,,,,,,,
02-Jan-26 ,305 ND National Garment Steamer,,80,80,5568,"445,440",National Distributor
02-Jan-26 ,43 HM ND National Hand Blender,,24,24,3132,"75,168",National Distributor
02-Jan-26 ,304 ND National Garment Steamer,,80,80,5568,"445,440",National Distributor
,,,,184.00,,"966,048.00",
Stock ID: 124-12813 ,,,,,,,
02-Jan-26 ,112 Kenwood Sandwich Maker,,30,30,1840,"55,200",Sitara Trading Company
,,,,30.00,,"55,200.00",
Stock ID: 124-12814 ,,,,,,,
02-Jan-26 ,222 BC ND National Juicer,,15,15,6351,"95,265",National Distributor
,,,,15.00,,"95,265.00",
Stock ID: 124-12850 ,,,,,,,
02-Jan-26 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-12851 ,,,,,,,
02-Jan-26 ,1086 Anex Insect Killer,,1,1,10101,"10,101",Opening Stock
02-Jan-26 ,3094 Anex Insect Killer 40W,,1,1,12148.5,"12,148.5",Opening Stock
,,,,2.00,,"22,249.50",
Stock ID: 124-12857 ,,,,,,,
03-Jan-26 ,014 Raf Chopper,,9,9,2450,"22,050",Sitara Trading Company
,,,,9.00,,"22,050.00",
Stock ID: 124-12858 ,,,,,,,
03-Jan-26 ,7725 Hot Plate,,3,3,3600,"10,800",Raees Ahmad Peer Makki
,,,,3.00,,"10,800.00",
Stock ID: 124-12859 ,,,,,,,
02-Jan-26 ,11 IB Microwave Oven Black,,156,156,11650,"1,817,400",Ibrahim Khan 
,,,,156.00,,"1,817,400.00",
Stock ID: 124-12860 ,,,,,,,
02-Jan-26 ,Kettle China National,,864,864,820,"708,480",Ibrahim Khan 
,,,,864.00,,"708,480.00",
Stock ID: 124-12861 ,,,,,,,
03-Jan-26 ,20MXP4 Haier 20L Micro Oven,,140,140,12100,"1,694,000",Rana Electric Gardh Mord
,,,,140.00,,"1,694,000.00",
Stock ID: 124-12862 ,,,,,,,
03-Jan-26 ,131 HP Dawlance Microwave Oven,,10,10,30700,"307,000",Ali Ahmad Mustafa Center
,,,,10.00,,"307,000.00",
Stock ID: 124-12863 ,,,,,,,
02-Jan-26 ,3094 Anex Insect Killer 40W,,1,1,12148.5,"12,148.5",Opening Stock
02-Jan-26 ,1086 Anex Insect Killer,,1,1,10101,"10,101",Opening Stock
,,,,2.00,,"22,249.50",
Stock ID: 124-12864 ,,,,,,,
02-Jan-26 ,3094 Anex Insect Killer 40W,,1,1,12148.5,"12,148.5",Anex Company Farrukh Sahab
02-Jan-26 ,1086 Anex Insect Killer,,1,1,10101,"10,101",Anex Company Farrukh Sahab
,,,,2.00,,"22,249.50",
Stock ID: 124-12869 ,,,,,,,
03-Jan-26 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-12870 ,,,,,,,
03-Jan-26 ,20 MH National Microwave Oven,,50,50,11300,"565,000",Multy Net Mehdi Bhai
03-Jan-26 ,20 MH National Microwave Oven,,50,50,11300,"565,000",Multy Net Mehdi Bhai
,,,,100.00,,"1,130,000.00",
Stock ID: 124-12872 ,,,,,,,
03-Jan-26 ,448 Philips Hot Plate,,120,120,3250,"390,000",Sitara Trading Company
,,,,120.00,,"390,000.00",
Stock ID: 124-12882 ,,,,,,,
03-Jan-26 ,1004 MJ 4in1 Juicer,,3,3,5300,"15,900",Sitara Trading Company
,,,,3.00,,"15,900.00",
Stock ID: 124-12890 ,,,,,,,
03-Jan-26 ,100 MJ 3in1 Juicer,,3,3,4850,"14,550",Sitara Trading Company
,,,,3.00,,"14,550.00",
Stock ID: 124-12937 ,,,,,,,
03-Jan-26 ,2224 ND National 4in1 Juicer,,15,15,7047,"105,705",National Distributor
03-Jan-26 ,9390 ND National Blender DD,,6,6,3306,"19,836",National Distributor
,,,,21.00,,"125,541.00",
Stock ID: 124-1296 ,,,,,,,
17-Sep-25 ,5880 Kenwood Food Factory ,,36,36,8000,"288,000",Abid Bhai Seco 
,,,,36.00,,"288,000.00",
Stock ID: 124-12962 ,,,,,,,
03-Jan-26 ,1026 Panasonic Electrics Oven,,20,20,9500,"190,000",Abid Bhai Seco 
,,,,20.00,,"190,000.00",
Stock ID: 124-12963 ,,,,,,,
05-Jan-26 ,620 ND National Food Factory 8in1,,4,4,12354,"49,416",National Distributor
,,,,4.00,,"49,416.00",
Stock ID: 124-12964 ,,,,,,,
05-Jan-26 ,908 Panasonic Air Fryer ,,50,50,11700,"585,000",National Distributor
,,,,50.00,,"585,000.00",
Stock ID: 124-12967 ,,,,,,,
05-Jan-26 ,413 Panasonic Sandwich Maker,,120,120,1840,"220,800",Sitara Trading Company
05-Jan-26 ,111 Raf Hot Plate,,120,120,3250,"390,000",Sitara Trading Company
,,,,240.00,,"610,800.00",
Stock ID: 124-1298 ,,,,,,,
17-Sep-25 ,0815 Panasonic Iron China Special AK,,150,150,2370,"355,500",Haider Sahab Iron
,,,,150.00,,"355,500.00",
Stock ID: 124-1299 ,,,,,,,
17-Sep-25 ,1040 GB Panasonic Iron Gray,,150,150,1160,"174,000",Haider Sahab Iron
,,,,150.00,,"174,000.00",
Stock ID: 124-12998 ,,,,,,,
05-Jan-26 ,552 ND National Chopper,,4,4,5133,"20,532",National Distributor
05-Jan-26 ,855 ND National Chopper,,4,4,5133,"20,532",National Distributor
05-Jan-26 ,1055 ND National Hot Plate,,8,8,5220,"41,760",National Distributor
,,,,16.00,,"82,824.00",
Stock ID: 124-13 ,,,,,,,
01-Sep-25 ,600 St Blender Blue 7020 Copper,,1,1,2200,"2,200",Opening Stock
01-Sep-25 ,Box 1818 3in1 Juicer,,636,636,81,"51,516",Opening Stock
01-Sep-25 ,18 Kettle China NP ,,138,138,1180,"162,840",Opening Stock
01-Sep-25 ,18 Kettle China NP ,,1,1,1180,"1,180",Opening Stock
01-Sep-25 ,600 St Blender Blue 7020 Copper,,204,204,2200,"448,800",Opening Stock
01-Sep-25 ,600 St Blender Blue 7020 Copper,,191,191,2200,"420,200",Opening Stock
01-Sep-25 ,08 Philips Blender,,1,1,3100,"3,100",Opening Stock
01-Sep-25 ,176 Panasonic Juicer Super Commercial 3in1,,44,44,4100,"180,400",Opening Stock
01-Sep-25 ,600 St Blender Blue 7020 Copper,,1,1,2200,"2,200",Opening Stock
01-Sep-25 ,176 Panasonic Juicer Super Commercial 3in1,,16,16,4100,"65,600",Opening Stock
01-Sep-25 ,18 Kettle China NP ,,1700,"1,700",1180,"2,006,000",Opening Stock
01-Sep-25 ,08 Philips Blender,,1,1,3100,"3,100",Opening Stock
01-Sep-25 ,3700 Kenwood 4in1 Juicer,,297,297,3600,"1,069,200",Opening Stock
01-Sep-25 ,600 St Blender Blue 7020 Copper,,1,1,2200,"2,200",Opening Stock
01-Sep-25 ,100 DS Hot Plate,,60,60,3450,"207,000",Opening Stock
01-Sep-25 ,Hot Plate Glass,,15,15,1450,"21,750",Opening Stock
,,,,"3,307.00",,"4,647,286.00",
